SEP=,
SERVICE,UNIT OF MEASURE,CONSUMED UNITS,INCLUDED UNITS,CHARGED UNITS,UNIT PRICE,CHARGE,
"Virtual Network Private Link - Standard Data Processed - Ingress","200 GB","1.766873","0","1.766873","12.15","21.47"
"Virtual Network Private Link - Standard Private Endpoint","200 Hours","80.04","0","80.04","12.15","972.65"
"Windows Server - 16 vCPU VM License","10 Hours","69.05","0","69.05","44.71","3087.53"
"Windows Server - 2 vCPU VM License","100 Hours","34.795672","0","34.795672","55.89","1944.62"
"Windows Server - 4 vCPU VM License","10 Hours","627.448388","0","627.448388","11.17","7010.1"
"Windows Server - 8 vCPU VM License","10 Hours","0.55","0","0.55","22.36","12.3"
"Windows Server Burst - 2 vCPU VM License","100 Hours","0.59333","0","0.59333","4.86","2.88"
"Windows Server Burst - 4 vCPU VM License","100 Hours","13.623335","0","13.623335","9.72","132.44"
"Standard_D2s_v3 eastus2 1 Year","NA","NA","NA","1","284.58","284.58"
"Standard_F16s_v2 eastus2 1 Year","NA","NA","NA","1","1986.06","1986.06"
"Standard_D2s_v5 eastus2 1 Year","NA","NA","NA","10","281.17","2811.7"
"Standard_D8s_v3 eastus2 1 Year","NA","NA","NA","1","1137.28","1137.28"
"Esv5_Type1 eastus2 1 Year","NA","NA","NA","1","19494.24","19494.24"
"Standard_D4s_v5 eastus2 1 Year","NA","NA","NA","8","562.44","4499.51"
"Standard_D4s_v5 eastus2 1 Year","NA","NA","NA","1","562.44","562.44"
"Standard_E4s_v5 eastus2 1 Year","NA","NA","NA","8","738.21","5905.67"
"Standard_D4ds_v5 eastus2 1 Year","NA","NA","NA","1","662.16","662.16"
"Standard_F4s_v2 eastus2 1 Year","NA","NA","NA","1","496.62","496.62"
"esv4_type1 eastus2 3 Years","NA","NA","NA","1","8370.55","8370.55"
"Standard_D2s_v5 eastus2 1 Year","NA","NA","NA","1","281.17","281.17"
"Standard_D8s_v5 eastus2 1 Year","NA","NA","NA","1","1125.4","1125.4"
"Standard_B4ms eastus2 1 Year","NA","NA","NA","2","483.6","967.2"
"Standard_D4s_v3 eastus2 1 Year","NA","NA","NA","1","568.64","568.64"
